"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"GPX1"	4.20545943896125e-17	0.376234245933964	0.471	0.134	9.73479750930749e-13	"Mig"	"GPX1"	"80-90"
"RNA5SP151"	4.25662475014119e-17	1.85149347174897	0.343	0.053	9.85323497162683e-13	"Mig"	"RNA5SP151"	"80-90"
"MKNK1"	4.97140488915439e-17	1.05947256533106	0.497	0.163	1.15078080374146e-12	"Mig"	"MKNK1"	"80-90"
"PTMA"	5.12875495657033e-17	1.1083712363298	0.667	0.329	1.1872041973469e-12	"Mig"	"PTMA"	"80-90"
"COX2"	5.25763176600443e-17	-0.106536606934952	0.627	0.248	1.2170366011947e-12	"Mig"	"COX2"	"80-90"
"FAU"	5.82115329924893e-17	0.798670677997686	0.398	0.085	1.34748056571014e-12	"Mig"	"FAU"	"80-90"
"AIF1"	6.75039357972695e-17	0.820383854035135	0.738	0.386	1.56258110583519e-12	"Mig"	"AIF1"	"80-90"
"PSME2"	9.25241974715159e-17	1.74140946985869	0.294	0.028	2.14175012307065e-12	"Mig"	"PSME2"	"80-90"
"ATP6"	1.40784957464293e-16	-0.187786356476385	0.663	0.313	3.25889019538345e-12	"Mig"	"ATP6"	"80-90"
"S100A8"	1.81707956295136e-16	1.37491829594882	0.245	0.004	4.20617577231980e-12	"Mig"	"S100A8"	"80-90"
"LST1"	1.82983256904183e-16	1.10712230505199	0.371	0.077	4.23569643081803e-12	"Mig"	"LST1"	"80-90"
"CD300A"	2.05761781753669e-16	1.48923493866629	0.278	0.02	4.76297372403392e-12	"Mig"	"CD300A"	"80-90"
"PSME1"	2.08149123807093e-16	0.99541822383738	0.349	0.061	4.81823591788658e-12	"Mig"	"PSME1"	"80-90"
"ATP5MG"	2.60126379366414e-16	1.32308199601741	0.306	0.037	6.02140542957374e-12	"Mig"	"ATP5MG"	"80-90"
"HLA-DMA"	2.726974634425e-16	1.2781799710258	0.327	0.049	6.31240088376699e-12	"Mig"	"HLA-DMA"	"80-90"
"HNRNPL"	4.08827448688429e-16	-2.44162779612946	0.54	0.699	9.46353778223975e-12	"Mig"	"HNRNPL"	"80-90"
"ARPC5"	4.80891972273127e-16	0.79928980951072	0.404	0.093	1.11316873741783e-11	"Mig"	"ARPC5"	"80-90"
"UQCR10"	6.08218470327757e-16	0.981583698107698	0.373	0.081	1.40790411511469e-11	"Mig"	"UQCR10"	"80-90"
"XBP1"	7.93403602484319e-16	1.32450348163793	0.268	0.02	1.8365706590307e-11	"Mig"	"XBP1"	"80-90"
"APOE"	8.77029526683938e-16	1.29933986597765	0.568	0.248	2.03014794836798e-11	"Mig"	"APOE"	"80-90"
"CEBPD"	9.09960138130831e-16	0.929414654196966	0.408	0.102	2.10637572774525e-11	"Mig"	"CEBPD"	"80-90"
"NPM1"	1.02857678983355e-15	1.97228846101469	0.264	0.02	2.38094955310669e-11	"Mig"	"NPM1"	"80-90"
"MTND1P23"	1.17015543052459e-15	0.669306091471767	0.373	0.081	2.70867579057832e-11	"Mig"	"MTND1P23"	"80-90"
"DDX5"	1.4232517155377e-15	0.0140118340931612	0.525	0.187	3.29454307112667e-11	"Mig"	"DDX5"	"80-90"
"COX5B"	1.74168309562044e-15	1.86433116906718	0.247	0.012	4.0316480297422e-11	"Mig"	"COX5B"	"80-90"
"MS4A4A"	1.77949349274935e-15	1.78948533239766	0.254	0.016	4.11917153701619e-11	"Mig"	"MS4A4A"	"80-90"
"H2AC20"	2.62015484697733e-15	2.06092789484059	0.241	0.012	6.06513443978313e-11	"Mig"	"H2AC20"	"80-90"
"TYROBP"	3.84653687547321e-15	1.14764112266024	0.46	0.154	8.9039635593454e-11	"Mig"	"TYROBP"	"80-90"
"MTATP6P1"	3.85997057995084e-15	-0.319990349606049	0.552	0.203	8.9350598984702e-11	"Mig"	"MTATP6P1"	"80-90"
"RBX1"	3.87691154472965e-15	2.31117305494492	0.225	0.004	8.9742748437402e-11	"Mig"	"RBX1"	"80-90"
"GTF3A"	6.52904604954299e-15	1.89801088270355	0.247	0.016	1.51134357954821e-10	"Mig"	"GTF3A"	"80-90"
"ARF1"	6.88764453993737e-15	1.61165308644765	0.221	0.004	1.5943519581047e-10	"Mig"	"ARF1"	"80-90"
"VSIG4"	7.30259664797316e-15	0.435196616447529	0.485	0.167	1.69040507207283e-10	"Mig"	"VSIG4"	"80-90"
"ADGRG1"	7.56872090868442e-15	0.559003077971472	0.489	0.171	1.75200751594227e-10	"Mig"	"ADGRG1"	"80-90"
"ATP5MC2"	8.43551466314732e-15	1.67965193219156	0.245	0.016	1.95265293422534e-10	"Mig"	"ATP5MC2"	"80-90"
"GNAS"	9.85133464897818e-15	0.638584784976714	0.446	0.126	2.28038694454547e-10	"Mig"	"GNAS"	"80-90"
"PSMB3"	1.06385575746322e-14	1.42176721798741	0.245	0.016	2.46261330737587e-10	"Mig"	"PSMB3"	"80-90"
"GSTP1"	1.07816784395271e-14	1.44367261006631	0.239	0.012	2.49574292518173e-10	"Mig"	"GSTP1"	"80-90"
