"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"C3"	6.62723350044741e-13	-0.265875846302611	0.848	0.846	2.16962370337647e-08	"Mig"	"C3"	"Temporal lobe"
"HLA-C"	8.0996019325629e-13	0.294971249421994	0.648	0.598	2.65164768068244e-08	"Mig"	"HLA-C"	"Temporal lobe"
"MT-ATP6"	9.43972403159162e-13	-0.117107328320826	0.999	1	3.09037685346247e-08	"Mig"	"MT-ATP6"	"Temporal lobe"
"MT-ATP8"	9.81677228125575e-13	-0.116982370145205	0.897	0.937	3.21381490943751e-08	"Mig"	"MT-ATP8"	"Temporal lobe"
"CCL2"	1.11415725758845e-12	0.697820576148926	0.285	0.208	3.64752802989308e-08	"Mig"	"CCL2"	"Temporal lobe"
"ZFP36"	1.83540329649283e-12	0.274652849406229	0.464	0.38	6.00874331205824e-08	"Mig"	"ZFP36"	"Temporal lobe"
"CD84"	1.85650906491831e-12	0.277710809379239	0.775	0.747	6.07783937672957e-08	"Mig"	"CD84"	"Temporal lobe"
"RP11-321L2.2"	2.66621750827111e-12	-0.256068088378501	0.141	0.21	8.72866287857797e-08	"Mig"	"RP11-321L2.2"	"Temporal lobe"
"MCL1"	2.92272611960639e-12	0.303327250676852	0.432	0.355	9.5684207703674e-08	"Mig"	"MCL1"	"Temporal lobe"
"CH17-264L24.1"	3.35833794426024e-12	-0.271320854634967	0.064	0.116	1.09945267619192e-07	"Mig"	"CH17-264L24.1"	"Temporal lobe"
"RP11-314D7.2"	3.90716120774218e-12	-0.352980973388795	0.203	0.273	1.27912643619063e-07	"Mig"	"RP11-314D7.2"	"Temporal lobe"
"EIF2S3"	5.7982666263009e-12	0.239479007885267	0.193	0.127	1.89823652811839e-07	"Mig"	"EIF2S3"	"Temporal lobe"
"DDX3X"	8.60648622343684e-12	0.291968142420511	0.34	0.267	2.81759145982875e-07	"Mig"	"DDX3X"	"Temporal lobe"
"RP11-692C24.2"	9.70874068578146e-12	-0.341854935682491	0.108	0.168	3.17844752571114e-07	"Mig"	"RP11-692C24.2"	"Temporal lobe"
"PMEPA1"	1.04654340634202e-11	-0.278515673182944	0.408	0.481	3.42617380368251e-07	"Mig"	"PMEPA1"	"Temporal lobe"
"PLXDC2"	1.62543651782377e-11	0.226802483814579	0.786	0.738	5.32135407205147e-07	"Mig"	"PLXDC2"	"Temporal lobe"
"LINC00976"	1.81240378155659e-11	-0.353695974522406	0.327	0.397	5.93344750005996e-07	"Mig"	"LINC00976"	"Temporal lobe"
"RNASE1"	2.07372778975987e-11	-0.346763097631062	0.07	0.12	6.78897003811586e-07	"Mig"	"RNASE1"	"Temporal lobe"
"CD74"	2.07904152345056e-11	0.165365104810945	0.98	0.989	6.80636613947244e-07	"Mig"	"CD74"	"Temporal lobe"
"RP11-57H12.3"	2.11974615652341e-11	-0.25533872799906	0.086	0.141	6.93962496722636e-07	"Mig"	"RP11-57H12.3"	"Temporal lobe"
"C1QA"	2.32056728139469e-11	-0.242247051600135	0.696	0.732	7.59707316582993e-07	"Mig"	"C1QA"	"Temporal lobe"
"FOSB"	2.69130391617846e-11	0.418422495909274	0.393	0.324	8.81079076078505e-07	"Mig"	"FOSB"	"Temporal lobe"
"AP000476.1"	2.79352977357945e-11	-0.285745838502713	0.295	0.367	9.1454577727444e-07	"Mig"	"AP000476.1"	"Temporal lobe"
"MT-ND5"	3.28843355841927e-11	0.201690853587047	0.99	0.995	1.0765673783553e-06	"Mig"	"MT-ND5"	"Temporal lobe"
"MIDN"	3.41156535369244e-11	0.316443964363699	0.201	0.14	1.11687826549183e-06	"Mig"	"MIDN"	"Temporal lobe"
"RP5-1171I10.5"	3.98345556257128e-11	0.345946045274015	0.194	0.133	1.30410368207458e-06	"Mig"	"RP5-1171I10.5"	"Temporal lobe"
"RP11-624L4.1"	6.43715075489002e-11	-0.247837221189647	0.094	0.149	2.1073944141359e-06	"Mig"	"RP11-624L4.1"	"Temporal lobe"
"CCNL1"	7.29938683171788e-11	0.276073821777274	0.402	0.326	2.3896732609678e-06	"Mig"	"CCNL1"	"Temporal lobe"
"SELPLG"	7.54044160217701e-11	-0.231467889576533	0.695	0.739	2.46858977172071e-06	"Mig"	"SELPLG"	"Temporal lobe"
"FAM118A"	7.95040364459084e-11	-0.252879302213399	0.096	0.151	2.60280314516615e-06	"Mig"	"FAM118A"	"Temporal lobe"
"PTPRC"	7.95466434164238e-11	0.246438565814777	0.659	0.597	2.60419801216688e-06	"Mig"	"PTPRC"	"Temporal lobe"
"DDX21"	9.22866660019634e-11	0.320815441402321	0.236	0.171	3.02128087157228e-06	"Mig"	"DDX21"	"Temporal lobe"
"ABCC9"	1.04576976713773e-10	-0.335060060044162	0.232	0.301	3.42364106365549e-06	"Mig"	"ABCC9"	"Temporal lobe"
"SPATA13"	1.11354436394424e-10	0.261701052017646	0.453	0.38	3.64552153868066e-06	"Mig"	"SPATA13"	"Temporal lobe"
"RCN3"	1.23784697171801e-10	-0.231433902569609	0.063	0.11	4.05246341601041e-06	"Mig"	"RCN3"	"Temporal lobe"
"ITGB5"	1.48760937975477e-10	-0.300480323715215	0.202	0.273	4.87013558744115e-06	"Mig"	"ITGB5"	"Temporal lobe"
"ATXN3"	1.6495790557097e-10	-0.303468695485124	0.284	0.355	5.40039191258242e-06	"Mig"	"ATXN3"	"Temporal lobe"
"GADD45B"	1.78383593605795e-10	0.42625744410405	0.119	0.072	5.83992208746653e-06	"Mig"	"GADD45B"	"Temporal lobe"
"AC092415.1"	1.95584946628672e-10	-0.207891961946313	0.071	0.119	6.40305998272948e-06	"Mig"	"AC092415.1"	"Temporal lobe"
"HLA-DQB1"	2.74937347136936e-10	0.326607376186366	0.382	0.309	9.00089887056902e-06	"Mig"	"HLA-DQB1"	"Temporal lobe"
