"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"AHR"	0.00181492480087651	-0.610430844587307	0.155	0.417	1	"Ast"	"AHR"	"40-60"
"IPMK"	0.00181585889413719	-0.29256045315503	0.134	0.417	1	"Ast"	"IPMK"	"40-60"
"BARD1"	0.00192767294731336	-0.369689352925165	0.031	0.208	1	"Ast"	"BARD1"	"40-60"
"TOR1B"	0.00192767294731336	-0.804043304185756	0.031	0.208	1	"Ast"	"TOR1B"	"40-60"
"ZEB2"	0.00193953880255369	-0.804622653742794	0.691	0.833	1	"Ast"	"ZEB2"	"40-60"
"SERPINE1"	0.002016129677797	1.15802839142526	0.546	0.167	1	"Ast"	"SERPINE1"	"40-60"
"MFSD5"	0.00202824944802034	-0.775408468772187	0.031	0.208	1	"Ast"	"MFSD5"	"40-60"
"ITPR1"	0.00207386930894088	-0.598775495521136	0.103	0.375	1	"Ast"	"ITPR1"	"40-60"
"NR1H3"	0.00213362059701931	-0.287036353036954	0.031	0.208	1	"Ast"	"NR1H3"	"40-60"
"PLXNA1"	0.00214376242487398	-1.22040458241676	0.052	0.25	1	"Ast"	"PLXNA1"	"40-60"
"IRAK4"	0.00221897816129248	-0.237517604356976	0.144	0.458	1	"Ast"	"IRAK4"	"40-60"
"MTMR3"	0.00226593095066607	-0.298786708412526	0.082	0.333	1	"Ast"	"MTMR3"	"40-60"
"SBNO2"	0.00228889785696068	-0.913929507895952	0.093	0.333	1	"Ast"	"SBNO2"	"40-60"
"MTG2"	0.00233852050857837	-0.780313816213574	0.052	0.25	1	"Ast"	"MTG2"	"40-60"
"HLA-B"	0.00239760913129073	-0.616038942603778	0.928	0.958	1	"Ast"	"HLA-B"	"40-60"
"LILRB3"	0.00245162689407951	-1.15872728759895	0.144	0.417	1	"Ast"	"LILRB3"	"40-60"
"QSOX1"	0.0024593833445565	-0.921715215297958	0.196	0.542	1	"Ast"	"QSOX1"	"40-60"
"SUPT6H"	0.00247250137614374	-0.736897007048566	0.155	0.458	1	"Ast"	"SUPT6H"	"40-60"
"SLC2A9"	0.00248057304786268	-0.285956838370242	0.031	0.208	1	"Ast"	"SLC2A9"	"40-60"
"NFKBIZ"	0.00249076617102173	-0.974558586688242	0.454	0.75	1	"Ast"	"NFKBIZ"	"40-60"
"MGRN1"	0.00252908544014092	-0.272219204970449	0.082	0.333	1	"Ast"	"MGRN1"	"40-60"
"CREB5"	0.00254935905762819	-0.829181800687371	0.052	0.25	1	"Ast"	"CREB5"	"40-60"
"RASSF3"	0.0026332735831984	-0.662505780600214	0.103	0.375	1	"Ast"	"RASSF3"	"40-60"
"CREG1"	0.00263732168104004	0.92015166574303	0.753	0.5	1	"Ast"	"CREG1"	"40-60"
"UBE2G1"	0.00263923229516946	-0.535220713912726	0.093	0.333	1	"Ast"	"UBE2G1"	"40-60"
"BCL3"	0.00263923229516946	-0.727145243572725	0.093	0.333	1	"Ast"	"BCL3"	"40-60"
"IER5L"	0.00264988785593604	-0.985524756792237	0.351	0.583	1	"Ast"	"IER5L"	"40-60"
"ICAM4"	0.00266117220436146	-0.763766986683857	0.052	0.25	1	"Ast"	"ICAM4"	"40-60"
"XAF1"	0.00270314361685012	-0.751300687153666	0.206	0.542	1	"Ast"	"XAF1"	"40-60"
"ACAP1"	0.00271816459039385	-0.891576569778357	0.021	0.167	1	"Ast"	"ACAP1"	"40-60"
"CNPY3"	0.00285968577293123	0.917331962726675	0.588	0.333	1	"Ast"	"CNPY3"	"40-60"
"UBE2Q1"	0.00286701887241663	-0.585215757813176	0.124	0.417	1	"Ast"	"UBE2Q1"	"40-60"
"NAMPT"	0.00286966375157859	-0.99600341366055	0.742	0.833	1	"Ast"	"NAMPT"	"40-60"
"TRAPPC2B"	0.00287632708169245	-0.528839556940739	0.021	0.167	1	"Ast"	"TRAPPC2B"	"40-60"
"TREM1"	0.00289818947567344	-0.636857666211082	0.072	0.292	1	"Ast"	"TREM1"	"40-60"
"VEGFA"	0.00290371899409112	-1.08904639839379	0.175	0.458	1	"Ast"	"VEGFA"	"40-60"
"NMI"	0.00298436359414076	-0.338115844746881	0.113	0.375	1	"Ast"	"NMI"	"40-60"
"APBB1IP"	0.00321240781425385	0.815532713928054	0.773	0.625	1	"Ast"	"APBB1IP"	"40-60"
"RGS13"	0.00321811875555567	-0.79887710882206	0.021	0.167	1	"Ast"	"RGS13"	"40-60"
"CDK5RAP1"	0.00324810147739801	-0.312917142519924	0.072	0.292	1	"Ast"	"CDK5RAP1"	"40-60"
"YME1L1"	0.00331869804518405	-1.14163742350944	0.402	0.667	1	"Ast"	"YME1L1"	"40-60"
"ANOS1"	0.00333692170782984	-0.684252273580688	0.103	0.333	1	"Ast"	"ANOS1"	"40-60"
"VCAN"	0.00337302958776547	-1.12784013426705	0.072	0.292	1	"Ast"	"VCAN"	"40-60"
"ZNF787"	0.00339890603223374	-0.471962356371164	0.113	0.375	1	"Ast"	"ZNF787"	"40-60"
"SCRIB"	0.00340254193982822	-0.227835633907497	0.021	0.167	1	"Ast"	"SCRIB"	"40-60"
"SH3PXD2A"	0.00340254193982822	-0.182286768971536	0.021	0.167	1	"Ast"	"SH3PXD2A"	"40-60"
"TGDS"	0.00340254193982822	-0.233366606028773	0.021	0.167	1	"Ast"	"TGDS"	"40-60"
"UCKL1"	0.00340254193982822	-0.326761061150714	0.021	0.167	1	"Ast"	"UCKL1"	"40-60"
"ELF2"	0.00343369419450997	-0.908749080759671	0.186	0.458	1	"Ast"	"ELF2"	"40-60"
"DUSP1"	0.0034353249943496	0.747971718389646	0.897	0.708	1	"Ast"	"DUSP1"	"40-60"
"MACROD1"	0.00359653827626216	-0.170501825459354	0.021	0.167	1	"Ast"	"MACROD1"	"40-60"
"STIMATE"	0.00372606222121979	-0.190320214837695	0.041	0.208	1	"Ast"	"STIMATE"	"40-60"
"NPHS1"	0.00373028666164749	-0.246423258287281	0.052	0.25	1	"Ast"	"NPHS1"	"40-60"
"FBXO41"	0.00380054377656757	-0.194248705231843	0.021	0.167	1	"Ast"	"FBXO41"	"40-60"
"MAP3K20"	0.00380054377656757	-0.249665537372492	0.021	0.167	1	"Ast"	"MAP3K20"	"40-60"
"ZNF197"	0.00380054377656757	-0.212020768916289	0.021	0.167	1	"Ast"	"ZNF197"	"40-60"
"FAM43A"	0.00380054377656757	-0.417401794527936	0.021	0.167	1	"Ast"	"FAM43A"	"40-60"
"FADD"	0.00380054377656757	-0.461235169216899	0.021	0.167	1	"Ast"	"FADD"	"40-60"
"EME2"	0.00380054377656757	-0.661413595231544	0.021	0.167	1	"Ast"	"EME2"	"40-60"
"AC009133.1"	0.00380054377656757	-0.686564728592886	0.021	0.167	1	"Ast"	"AC009133.1"	"40-60"
"ELMO2"	0.00380054377656757	-0.168430062425614	0.021	0.167	1	"Ast"	"ELMO2"	"40-60"
"AC022098.1"	0.00380054377656757	-0.156166632597385	0.021	0.167	1	"Ast"	"AC022098.1"	"40-60"
"NR1H2"	0.0038619645136745	-0.510559359993781	0.144	0.417	1	"Ast"	"NR1H2"	"40-60"
"PRDX1"	0.00388134605722473	0.848813056985779	0.784	0.583	1	"Ast"	"PRDX1"	"40-60"
"PHRF1"	0.00391769952749569	-0.44329580174124	0.072	0.292	1	"Ast"	"PHRF1"	"40-60"
"GOSR2"	0.00391769952749569	-0.656017052823693	0.072	0.292	1	"Ast"	"GOSR2"	"40-60"
"SIGLEC1"	0.00391769952749569	-0.253728145183784	0.072	0.292	1	"Ast"	"SIGLEC1"	"40-60"
"FEM1A"	0.00391769952749569	-0.380233650237127	0.072	0.292	1	"Ast"	"FEM1A"	"40-60"
"AC005261.1"	0.00400451313282091	-0.157918329704965	0.093	0.333	1	"Ast"	"AC005261.1"	"40-60"
"MBNL1-AS1"	0.00401501081832744	-0.000731180317699864	0.021	0.167	1	"Ast"	"MBNL1-AS1"	"40-60"
"GNB1L"	0.00401501081832744	-0.141461792143857	0.021	0.167	1	"Ast"	"GNB1L"	"40-60"
"MED26"	0.00405252317867778	-0.193832942718389	0.052	0.25	1	"Ast"	"MED26"	"40-60"
"CHIC2"	0.00406580143661322	-0.723390743229124	0.072	0.292	1	"Ast"	"CHIC2"	"40-60"
"KLF2"	0.00407729866159818	0.976555866852836	0.753	0.458	1	"Ast"	"KLF2"	"40-60"
"ANO6"	0.00412781936583658	-0.336513793836316	0.186	0.5	1	"Ast"	"ANO6"	"40-60"
"NBPF11"	0.00424040857130615	-0.09821314727655	0.021	0.167	1	"Ast"	"NBPF11"	"40-60"
"EPHB3"	0.00424040857130615	-0.15013059269632	0.021	0.167	1	"Ast"	"EPHB3"	"40-60"
"BRAT1"	0.00424040857130615	-0.1032802244134	0.021	0.167	1	"Ast"	"BRAT1"	"40-60"
"EREG"	0.00437734894093054	-0.181458575027622	0.072	0.292	1	"Ast"	"EREG"	"40-60"
"SRSF10"	0.00442973039281332	0.908138530474277	0.443	0.167	1	"Ast"	"SRSF10"	"40-60"
"PYURF"	0.00449552336940335	0.850755952640364	0.412	0.125	1	"Ast"	"PYURF"	"40-60"
