"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"DPY30"	0.0629364546062142	-0.925597327936897	0	0.5	1	"Ast"	"DPY30"	"40-60"	"N"
"KRCC1"	0.0629364546062142	-0.910789834295284	0	0.5	1	"Ast"	"KRCC1"	"40-60"	"N"
"PNKD"	0.0629364546062142	-1.00349988029246	0	0.5	1	"Ast"	"PNKD"	"40-60"	"N"
"ACAA1"	0.0629364546062142	-0.778348337267694	0	0.5	1	"Ast"	"ACAA1"	"40-60"	"N"
"MAPKAPK3"	0.0629364546062142	-1.42983237538915	0	0.5	1	"Ast"	"MAPKAPK3"	"40-60"	"N"
"TIPARP"	0.0629364546062142	-1.09352737068411	0	0.5	1	"Ast"	"TIPARP"	"40-60"	"N"
"NDUFB5"	0.0629364546062142	-0.934499525067643	0	0.5	1	"Ast"	"NDUFB5"	"40-60"	"N"
"KLHL5"	0.0629364546062142	-0.909015879322652	0	0.5	1	"Ast"	"KLHL5"	"40-60"	"N"
"EREG"	0.0629364546062142	-3.40137364900918	0	0.5	1	"Ast"	"EREG"	"40-60"	"N"
"PRMT9"	0.0629364546062142	-1.25690708841341	0	0.5	1	"Ast"	"PRMT9"	"40-60"	"N"
"PSMB8-AS1"	0.0629364546062142	-1.10318856632261	0	0.5	1	"Ast"	"PSMB8-AS1"	"40-60"	"N"
"GOPC"	0.0629364546062142	-0.681799993136516	0	0.5	1	"Ast"	"GOPC"	"40-60"	"N"
"ABRACL"	0.0629364546062142	-0.606613519457514	0	0.5	1	"Ast"	"ABRACL"	"40-60"	"N"
"GTF2H5"	0.0629364546062142	-0.900731754267428	0	0.5	1	"Ast"	"GTF2H5"	"40-60"	"N"
"IGF2R"	0.0629364546062142	-0.990171879109363	0	0.5	1	"Ast"	"IGF2R"	"40-60"	"N"
"RNF216"	0.0629364546062142	-0.987197977769841	0	0.5	1	"Ast"	"RNF216"	"40-60"	"N"
"DBNL"	0.0629364546062142	-1.44572928746858	0	0.5	1	"Ast"	"DBNL"	"40-60"	"N"
"EIF4H"	0.0629364546062142	-1.4366746969847	0	0.5	1	"Ast"	"EIF4H"	"40-60"	"N"
"TNPO3"	0.0629364546062142	-0.844445977664133	0	0.5	1	"Ast"	"TNPO3"	"40-60"	"N"
"STMP1"	0.0629364546062142	-1.13442477752159	0	0.5	1	"Ast"	"STMP1"	"40-60"	"N"
"GTPBP6"	0.0629364546062142	-0.992335335489695	0	0.5	1	"Ast"	"GTPBP6"	"40-60"	"N"
"SMS"	0.0629364546062142	-0.664249718231665	0	0.5	1	"Ast"	"SMS"	"40-60"	"N"
"REEP4"	0.0629364546062142	-0.898881216125727	0	0.5	1	"Ast"	"REEP4"	"40-60"	"N"
"CPQ"	0.0629364546062142	-1.21080925722686	0	0.5	1	"Ast"	"CPQ"	"40-60"	"N"
"UBE2R2"	0.0629364546062142	-1.08440207762205	0	0.5	1	"Ast"	"UBE2R2"	"40-60"	"N"
"RALGDS"	0.0629364546062142	-0.857112198515225	0	0.5	1	"Ast"	"RALGDS"	"40-60"	"N"
"ILK"	0.0629364546062142	-0.745793297449773	0	0.5	1	"Ast"	"ILK"	"40-60"	"N"
"UCP2"	0.0629364546062142	-1.37850245170433	0	0.5	1	"Ast"	"UCP2"	"40-60"	"N"
"NCAPD3"	0.0629364546062142	-0.978134370686942	0	0.5	1	"Ast"	"NCAPD3"	"40-60"	"N"
"SCD"	0.0629364546062142	-0.695633084247714	0	0.5	1	"Ast"	"SCD"	"40-60"	"N"
"BIN2"	0.0629364546062142	-0.606613519457514	0	0.5	1	"Ast"	"BIN2"	"40-60"	"N"
"ACVR1B"	0.0629364546062142	-0.785333295444467	0	0.5	1	"Ast"	"ACVR1B"	"40-60"	"N"
"GPN3"	0.0629364546062142	-1.26253767829492	0	0.5	1	"Ast"	"GPN3"	"40-60"	"N"
"SDS"	0.0629364546062142	-1.34123805514736	0	0.5	1	"Ast"	"SDS"	"40-60"	"N"
"STX2"	0.0629364546062142	-1.03872818759245	0	0.5	1	"Ast"	"STX2"	"40-60"	"N"
"SLC12A6"	0.0629364546062142	-0.986709173858276	0	0.5	1	"Ast"	"SLC12A6"	"40-60"	"N"
"TMEM87A"	0.0629364546062142	-0.674900953416178	0	0.5	1	"Ast"	"TMEM87A"	"40-60"	"N"
"SNRPA1"	0.0629364546062142	-1.40882734011221	0	0.5	1	"Ast"	"SNRPA1"	"40-60"	"N"
"TM2D3"	0.0629364546062142	-0.745215443448244	0	0.5	1	"Ast"	"TM2D3"	"40-60"	"N"
"GNPTG"	0.0629364546062142	-0.695633084247714	0	0.5	1	"Ast"	"GNPTG"	"40-60"	"N"
"GDE1"	0.0629364546062142	-0.706055947860211	0	0.5	1	"Ast"	"GDE1"	"40-60"	"N"
"MPHOSPH6"	0.0629364546062142	-0.664249718231665	0	0.5	1	"Ast"	"MPHOSPH6"	"40-60"	"N"
"MPDU1"	0.0629364546062142	-0.681799993136516	0	0.5	1	"Ast"	"MPDU1"	"40-60"	"N"
"EXOC7"	0.0629364546062142	-0.823829648033146	0	0.5	1	"Ast"	"EXOC7"	"40-60"	"N"
"CCT8"	0.0629364546062142	-0.892947928071127	0	0.5	1	"Ast"	"CCT8"	"40-60"	"N"
"PLEKHB2"	0.0630835306252854	-1.49686350129615	0.167	0.625	1	"Ast"	"PLEKHB2"	"40-60"	"N"
"IDH1"	0.0630835306252854	-1.73747968709838	0.167	0.625	1	"Ast"	"IDH1"	"40-60"	"N"
"AFF1"	0.0630835306252854	-0.907118394506246	0.167	0.625	1	"Ast"	"AFF1"	"40-60"	"N"
"H2AFV"	0.0630835306252854	-0.842261430092426	0.167	0.625	1	"Ast"	"H2AFV"	"40-60"	"N"
"LEPROTL1"	0.0630835306252854	-1.18464012908224	0.167	0.625	1	"Ast"	"LEPROTL1"	"40-60"	"N"
"FNBP1"	0.0630835306252854	-1.16419925211897	0.167	0.625	1	"Ast"	"FNBP1"	"40-60"	"N"
"LGALS3"	0.0630835306252854	-2.20839308654115	0.167	0.625	1	"Ast"	"LGALS3"	"40-60"	"N"
"ICE2"	0.0630835306252854	-0.907118394506246	0.167	0.625	1	"Ast"	"ICE2"	"40-60"	"N"
"GGA2"	0.0630835306252854	-1.03629565286937	0.167	0.625	1	"Ast"	"GGA2"	"40-60"	"N"
"MAP1LC3B"	0.0630835306252854	-1.32852552918148	0.167	0.625	1	"Ast"	"MAP1LC3B"	"40-60"	"N"
"TRAPPC1"	0.0630835306252854	-1.06160266685212	0.167	0.625	1	"Ast"	"TRAPPC1"	"40-60"	"N"
"EIF4A3"	0.0630835306252854	-2.62598308039891	0.167	0.625	1	"Ast"	"EIF4A3"	"40-60"	"N"
"SCAND1"	0.0630835306252854	-1.4748136073552	0.167	0.625	1	"Ast"	"SCAND1"	"40-60"	"N"
"PLTP"	0.0630835306252854	-1.36399500558652	0.167	0.625	1	"Ast"	"PLTP"	"40-60"	"N"
"PPDPF"	0.0630835306252854	-0.907118394506246	0.167	0.625	1	"Ast"	"PPDPF"	"40-60"	"N"
"CAPNS1"	0.0630835306252854	-1.45938945798118	0.167	0.625	1	"Ast"	"CAPNS1"	"40-60"	"N"
"PDXK"	0.0630835306252854	-1.07109524052931	0.167	0.625	1	"Ast"	"PDXK"	"40-60"	"N"
"MBNL1"	0.0676115310252923	1.21241058419293	0.833	0.625	1	"Ast"	"MBNL1"	"40-60"	"N"
"COX7B"	0.0676115310252923	-0.92727308618178	0.5	0.875	1	"Ast"	"COX7B"	"40-60"	"N"
"CPM"	0.0676115310252923	-1.55497759748369	0.5	0.875	1	"Ast"	"CPM"	"40-60"	"N"
"LYZ"	0.0696764951485699	-2.02067897337943	0.333	0.75	1	"Ast"	"LYZ"	"40-60"	"N"
"OSBPL8"	0.0696764951485699	-1.10382087589724	0.333	0.75	1	"Ast"	"OSBPL8"	"40-60"	"N"
"CTSA"	0.0696764951485699	-0.851951795237276	0.333	0.75	1	"Ast"	"CTSA"	"40-60"	"N"
"PLK3"	0.0739184838200284	1.0872573352367	0.667	0.25	1	"Ast"	"PLK3"	"40-60"	"N"
