"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"ANOS1"	2.39821835174972e-06	-0.403246768940585	0.103	0.33	0.0801820323724001	"Ast"	"ANOS1"	"GBM"
"SH3BP5"	2.42354008476906e-06	-0.47494619973294	0.103	0.33	0.0810286391941687	"Ast"	"SH3BP5"	"GBM"
"ELL2"	2.62466785676389e-06	-0.564941176519433	0.598	0.791	0.0877531451230438	"Ast"	"ELL2"	"GBM"
"MFSD1"	2.68215518922538e-06	-0.422883258293775	0.732	0.86	0.0896751765965615	"Ast"	"MFSD1"	"GBM"
"HNRNPM"	2.76598279022481e-06	-0.438166459645751	0.371	0.637	0.0924778686083764	"Ast"	"HNRNPM"	"GBM"
"RNF149"	2.98148061309974e-06	-0.332442118822954	0.536	0.758	0.0996828228183768	"Ast"	"RNF149"	"GBM"
"RGS1"	3.00760683524689e-06	-0.427046396701243	0.835	0.957	0.100556326929645	"Ast"	"RGS1"	"GBM"
"UQCRB"	3.0796196418464e-06	-0.367954965982723	0.701	0.898	0.102964003105492	"Ast"	"UQCRB"	"GBM"
"TTTY15"	3.10306161009732e-06	-0.36001311537746	0	0.186	0.103747761871994	"Ast"	"TTTY15"	"GBM"
"BCAR3"	3.16756247281142e-06	0.168369240493029	0.103	0.027	0.105904283715977	"Ast"	"BCAR3"	"GBM"
"PRKX"	3.25467666384842e-06	0.504351316715101	0.32	0.162	0.108816859579108	"Ast"	"PRKX"	"GBM"
"IRAK3"	3.44388291575236e-06	-0.521781759323217	0.402	0.668	0.115142781405264	"Ast"	"IRAK3"	"GBM"
"AKR1B1"	3.49804020865599e-06	-0.494197792828558	0.588	0.792	0.116953476336204	"Ast"	"AKR1B1"	"GBM"
"CCL20"	3.58331362268502e-06	-1.3269969889971	0.361	0.578	0.119804507660851	"Ast"	"CCL20"	"GBM"
"B2M"	3.66884308413737e-06	-0.317517250691318	0.979	1	0.122664099675049	"Ast"	"B2M"	"GBM"
"FGL2"	3.74357518019174e-06	-0.377277056613294	0.598	0.838	0.125162692574531	"Ast"	"FGL2"	"GBM"
"SRSF3"	3.75452961796661e-06	-0.263727423703273	0.515	0.76	0.125528943247096	"Ast"	"SRSF3"	"GBM"
"JAZF1"	3.8055314489848e-06	-0.477076106359292	0.258	0.503	0.127234138465358	"Ast"	"JAZF1"	"GBM"
"SAG"	3.95113946474538e-06	-0.344950941191946	0	0.182	0.132102396864297	"Ast"	"SAG"	"GBM"
"APMAP"	4.03789301730229e-06	0.75413275300082	0.515	0.375	0.135002915140485	"Ast"	"APMAP"	"GBM"
"AZIN1"	4.05331169266749e-06	-0.343752272555054	0.299	0.558	0.135518423132645	"Ast"	"AZIN1"	"GBM"
"AHR"	4.42612247501167e-06	-0.424525724936912	0.155	0.381	0.14798297882954	"Ast"	"AHR"	"GBM"
"HNRNPC"	4.42760453466504e-06	-0.306949882270501	0.67	0.874	0.148032530011991	"Ast"	"HNRNPC"	"GBM"
"YME1L1"	4.44241927865156e-06	-0.455615498272085	0.402	0.671	0.148527846162436	"Ast"	"YME1L1"	"GBM"
"COMMD6"	4.7228332612793e-06	-0.392106095181433	0.567	0.822	0.157903207257612	"Ast"	"COMMD6"	"GBM"
"POLR1D"	4.93974778606973e-06	-0.406509957444054	0.33	0.581	0.165155527479455	"Ast"	"POLR1D"	"GBM"
"SEMA4A"	4.94483063786408e-06	-0.449517429501409	0.021	0.211	0.165325467546348	"Ast"	"SEMA4A"	"GBM"
"PNP"	5.58177376393851e-06	-0.357594919505907	0.093	0.316	0.18662102402352	"Ast"	"PNP"	"GBM"
"MFGE8"	5.61723910343121e-06	0.253902299632412	0.144	0.048	0.187806772184119	"Ast"	"MFGE8"	"GBM"
"DNAAF1"	5.63423740071954e-06	-0.535383521266351	0.052	0.26	0.188375093255657	"Ast"	"DNAAF1"	"GBM"
"APOL6"	5.7323187682565e-06	-0.369696386694206	0.144	0.376	0.191654345697888	"Ast"	"APOL6"	"GBM"
"SERPINE1"	5.84273135053429e-06	0.910881836501628	0.546	0.394	0.195345879973763	"Ast"	"SERPINE1"	"GBM"
"ST14"	5.95653513463908e-06	-0.403019432883529	0.175	0.413	0.199150795691523	"Ast"	"ST14"	"GBM"
"SPP1"	6.04579308063098e-06	0.512375734493861	1	0.997	0.202135045857816	"Ast"	"SPP1"	"GBM"
"CSRNP1"	6.46078620057263e-06	-0.29126127838853	0.268	0.537	0.216009925829945	"Ast"	"CSRNP1"	"GBM"
"CYCS"	6.74832214479324e-06	-0.371509375031068	0.381	0.658	0.225623402589017	"Ast"	"CYCS"	"GBM"
