"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"TMEM161B-AS1"	1.83066183231235e-22	0.248520571260178	0.384	0.129	6.14937616092042e-18	"Mig"	"TMEM161B-AS1"	"70-80"	"male"
"EIF4G3"	1.86140421505037e-22	0.377255634524153	0.277	0.067	6.2526428987757e-18	"Mig"	"EIF4G3"	"70-80"	"male"
"SFXN5"	2.76941834524509e-22	0.11601161720842	0.401	0.138	9.30275316351278e-18	"Mig"	"SFXN5"	"70-80"	"male"
"NF1"	4.49272900436375e-22	0.372779304631384	0.309	0.087	1.50915259985583e-17	"Mig"	"NF1"	"70-80"	"male"
"SOX5"	7.59983987252486e-22	0.244126543139763	0.402	0.142	2.55286221157983e-17	"Mig"	"SOX5"	"70-80"	"male"
"MYRIP"	8.24927829698543e-22	0.736994809337947	0.189	0.022	2.77101507274038e-17	"Mig"	"MYRIP"	"70-80"	"male"
"LIFR"	1.0692915162528e-21	0.324786923808807	0.3	0.084	3.59185713224479e-17	"Mig"	"LIFR"	"70-80"	"male"
"PLPP3"	1.07894057509183e-21	0.354454276053331	0.314	0.093	3.62426928579098e-17	"Mig"	"PLPP3"	"70-80"	"male"
"CYSTM1"	1.27536279432114e-21	0.728215135263725	0.191	0.024	4.28407116240413e-17	"Mig"	"CYSTM1"	"70-80"	"male"
"DDX5"	1.27892471447886e-21	0.58692236090507	0.208	0.033	4.29603600840593e-17	"Mig"	"DDX5"	"70-80"	"male"
"MAGI1"	1.32926220959481e-21	0.489685432560715	0.267	0.065	4.46512468824994e-17	"Mig"	"MAGI1"	"70-80"	"male"
"FAM184A"	1.49565279307783e-21	0.567089058252283	0.215	0.036	5.02404729722774e-17	"Mig"	"FAM184A"	"70-80"	"male"
"DENND1B"	1.71748871337894e-21	0.811097230917514	0.173	0.015	5.76921633711119e-17	"Mig"	"DENND1B"	"70-80"	"male"
"VPS13A"	2.07295430148294e-21	0.712441884547647	0.207	0.033	6.96326079411134e-17	"Mig"	"VPS13A"	"70-80"	"male"
"ADD3"	2.89237526820907e-21	0.217999375215135	0.34	0.107	9.7157777634411e-17	"Mig"	"ADD3"	"70-80"	"male"
"CAMTA1"	2.93338133128692e-21	0.180525444879529	0.368	0.124	9.85352122992588e-17	"Mig"	"CAMTA1"	"70-80"	"male"
"SBF2"	3.35086830279288e-21	0.222331184681327	0.291	0.08	1.12559017159116e-16	"Mig"	"SBF2"	"70-80"	"male"
"MACROD2"	3.52607996286403e-21	0.282279250832596	0.393	0.14	1.18444552032566e-16	"Mig"	"MACROD2"	"70-80"	"male"
"AC016831.7"	3.56797776185903e-21	0.748373897634224	0.178	0.018	1.19851940998607e-16	"Mig"	"AC016831.7"	"70-80"	"male"
"AC074363.1"	4.24334338789146e-21	0.341755564248753	0.317	0.096	1.42538147742662e-16	"Mig"	"AC074363.1"	"70-80"	"male"
"RFX3-AS1"	9.73733324127232e-21	0.846444408915964	0.178	0.02	3.27086760907578e-16	"Mig"	"RFX3-AS1"	"70-80"	"male"
"EPHB1"	1.03675875544354e-20	0.455427841522728	0.242	0.055	3.4825763354104e-16	"Mig"	"EPHB1"	"70-80"	"male"
"AKT3"	1.20305537743079e-20	0.277794943330521	0.413	0.153	4.04118331832776e-16	"Mig"	"AKT3"	"70-80"	"male"
"GNG12-AS1"	1.23801007727758e-20	0.784839614065341	0.171	0.016	4.15859965058312e-16	"Mig"	"GNG12-AS1"	"70-80"	"male"
"NAALADL2"	1.34174162317623e-20	0.234824225358417	0.349	0.116	4.50704428641127e-16	"Mig"	"NAALADL2"	"70-80"	"male"
"TMEM132B"	1.46221415304009e-20	0.810361285843392	0.181	0.022	4.91172356147698e-16	"Mig"	"TMEM132B"	"70-80"	"male"
"PLXDC2"	1.73129918870073e-20	0.553384660994586	0.236	0.053	5.81560710476463e-16	"Mig"	"PLXDC2"	"70-80"	"male"
"HMGN3"	2.10939661211925e-20	0.565754268217665	0.187	0.025	7.08567415976978e-16	"Mig"	"HMGN3"	"70-80"	"male"
"SLC25A26"	2.331351444191e-20	0.885732160060026	0.152	0.007	7.831242636182e-16	"Mig"	"SLC25A26"	"70-80"	"male"
"WSB1"	2.37845247509511e-20	0.253360197733732	0.288	0.082	7.98945970909197e-16	"Mig"	"WSB1"	"70-80"	"male"
"SSBP2"	2.74838740277557e-20	0.195038294148208	0.259	0.065	9.2321081246634e-16	"Mig"	"SSBP2"	"70-80"	"male"
"HPSE2"	2.94668320791055e-20	0.438049655688571	0.378	0.14	9.89820356369232e-16	"Mig"	"HPSE2"	"70-80"	"male"
"ASTN2"	3.2176089443388e-20	0.246696951719579	0.345	0.116	1.08082702049285e-15	"Mig"	"ASTN2"	"70-80"	"male"
"TOM1L1"	3.31664438036692e-20	0.983972750070925	0.143	0.004	1.11409401380905e-15	"Mig"	"TOM1L1"	"70-80"	"male"
"TTC28"	3.75792428929488e-20	0.205392413525031	0.303	0.091	1.26232434801704e-15	"Mig"	"TTC28"	"70-80"	"male"
"ZNF638"	4.0102745023353e-20	0.427988281445443	0.228	0.049	1.34709130807945e-15	"Mig"	"ZNF638"	"70-80"	"male"
"NEK1"	4.18461793617381e-20	0.500042716950483	0.205	0.036	1.40565501094014e-15	"Mig"	"NEK1"	"70-80"	"male"
"NHSL1"	4.20438162169579e-20	0.280366876079048	0.332	0.109	1.41229383054383e-15	"Mig"	"NHSL1"	"70-80"	"male"
"MBD5"	4.81762462140921e-20	0.148763427526569	0.338	0.111	1.61828828657757e-15	"Mig"	"MBD5"	"70-80"	"male"
"MEIS2"	5.10225815368784e-20	0.0891159685351623	0.402	0.147	1.71389953640528e-15	"Mig"	"MEIS2"	"70-80"	"male"
"ACAP2"	5.47011457953802e-20	0.478214279741608	0.217	0.044	1.83746618841261e-15	"Mig"	"ACAP2"	"70-80"	"male"
"PPP3CC"	5.4761862508674e-20	0.658972050248584	0.194	0.031	1.83950572352887e-15	"Mig"	"PPP3CC"	"70-80"	"male"
"LUC7L3"	5.65713158556394e-20	0.115951326474989	0.386	0.138	1.90028707090678e-15	"Mig"	"LUC7L3"	"70-80"	"male"
"FER"	6.1016863826953e-20	0.532945752578043	0.22	0.045	2.04961747281118e-15	"Mig"	"FER"	"70-80"	"male"
"EPC1"	6.30980636431216e-20	0.520644308461369	0.184	0.025	2.1195270558361e-15	"Mig"	"EPC1"	"70-80"	"male"
"MGST1"	6.65012803050697e-20	0.146449570741133	0.328	0.105	2.2338445067276e-15	"Mig"	"MGST1"	"70-80"	"male"
"SPTBN1"	6.77338640494836e-20	0.173567233468911	0.3	0.091	2.2752482272862e-15	"Mig"	"SPTBN1"	"70-80"	"male"
"GABRA2"	7.9268366958985e-20	0.353237324609083	0.239	0.056	2.66270371451927e-15	"Mig"	"GABRA2"	"70-80"	"male"
"CNTN1"	8.53585271567002e-20	0.222723863194265	0.463	0.189	2.86727828572072e-15	"Mig"	"CNTN1"	"70-80"	"male"
"TRPS1"	9.21776366433743e-20	0.0977735864405918	0.469	0.187	3.09633899248759e-15	"Mig"	"TRPS1"	"70-80"	"male"
"PIK3C2A"	9.5746909049012e-20	0.541855803304476	0.203	0.036	3.21623442186536e-15	"Mig"	"PIK3C2A"	"70-80"	"male"
"MAGI3"	9.8403522293421e-20	0.531857156756449	0.189	0.029	3.3054727173583e-15	"Mig"	"MAGI3"	"70-80"	"male"
"SASH1"	1.02605395104801e-19	0.213479089590634	0.433	0.169	3.44661782696537e-15	"Mig"	"SASH1"	"70-80"	"male"
"AC012593.1"	1.18166643346861e-19	0.735327151242635	0.191	0.031	3.9693357166644e-15	"Mig"	"AC012593.1"	"70-80"	"male"
"MAST4"	1.37413448845894e-19	0.204048726148975	0.363	0.129	4.61585516018242e-15	"Mig"	"MAST4"	"70-80"	"male"
"CLASP2"	1.48206611337237e-19	0.164870861581862	0.358	0.125	4.97840828142912e-15	"Mig"	"CLASP2"	"70-80"	"male"
"GRAMD1C"	1.49988714388707e-19	0.432853148718273	0.249	0.064	5.03827090503106e-15	"Mig"	"GRAMD1C"	"70-80"	"male"
"TNRC6B"	1.54431978692087e-19	0.213277213908835	0.377	0.138	5.1875245962459e-15	"Mig"	"TNRC6B"	"70-80"	"male"
