"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"PRKG1"	0.000594460193541815	0.287092625287473	0.571	0.456	1	"Ast"	"PRKG1"	"20-40"
"RP11-679C8.2"	0.000645219267242204	0.357952358272661	0.22	0.139	1	"Ast"	"RP11-679C8.2"	"20-40"
"CMYA5"	0.000659486438218383	0.325829942207477	0.133	0.071	1	"Ast"	"CMYA5"	"20-40"
"SUCLG2-AS1"	0.000660267383919294	0.464560322363469	0.145	0.081	1	"Ast"	"SUCLG2-AS1"	"20-40"
"GAREM"	0.000696288567032032	0.351983698955937	0.288	0.195	1	"Ast"	"GAREM"	"20-40"
"RP11-284M14.1"	0.000716132079821161	0.288318779541357	0.22	0.137	1	"Ast"	"RP11-284M14.1"	"20-40"
"PTCHD1-AS"	0.000768720994207603	0.33216459954467	0.218	0.137	1	"Ast"	"PTCHD1-AS"	"20-40"
"CCSER2"	0.000769127063887602	0.40119895219215	0.157	0.092	1	"Ast"	"CCSER2"	"20-40"
"FIGN"	0.00077540744226587	0.230808760892422	0.147	0.081	1	"Ast"	"FIGN"	"20-40"
"TRIP11"	0.000783049816442227	0.296631758008584	0.139	0.077	1	"Ast"	"TRIP11"	"20-40"
"WDR60"	0.000825565353908159	-0.572085989105753	0.196	0.269	1	"Ast"	"WDR60"	"20-40"
"RBM26"	0.000847454821091161	0.297188679618338	0.247	0.162	1	"Ast"	"RBM26"	"20-40"
"GBAS"	0.000859920745764772	-0.592777336152425	0.071	0.13	1	"Ast"	"GBAS"	"20-40"
"DNM3"	0.000913532565723489	0.307971326933236	0.41	0.313	1	"Ast"	"DNM3"	"20-40"
"LINC00499"	0.000938152834612912	0.374000430780892	0.292	0.199	1	"Ast"	"LINC00499"	"20-40"
"KANSL1"	0.000945524107840873	0.317724034402797	0.316	0.216	1	"Ast"	"KANSL1"	"20-40"
"CHD4"	0.000949268036781833	0.353590067136476	0.22	0.14	1	"Ast"	"CHD4"	"20-40"
"POU2F1"	0.000950586831320837	0.412186368143278	0.294	0.207	1	"Ast"	"POU2F1"	"20-40"
"PRDM16"	0.000963829416917609	0.398080092701134	0.247	0.164	1	"Ast"	"PRDM16"	"20-40"
"PRRC2C"	0.000970754786449006	0.295742588259911	0.396	0.291	1	"Ast"	"PRRC2C"	"20-40"
"DLEU2"	0.000984607386706616	0.26822321225165	0.18	0.108	1	"Ast"	"DLEU2"	"20-40"
"NRG3"	0.000990776630085924	0.185354875188438	0.904	0.861	1	"Ast"	"NRG3"	"20-40"
"PIK3R1"	0.00101638630567539	0.396362454046392	0.186	0.117	1	"Ast"	"PIK3R1"	"20-40"
"RBM6"	0.00104116807606763	0.228215046766406	0.308	0.211	1	"Ast"	"RBM6"	"20-40"
"RASSF8"	0.00104123941408015	0.569398371056958	0.149	0.089	1	"Ast"	"RASSF8"	"20-40"
"ATP5I"	0.00108016707265643	-0.612648411528233	0.067	0.123	1	"Ast"	"ATP5I"	"20-40"
"STK3"	0.0011082057950407	0.329378567883254	0.169	0.1	1	"Ast"	"STK3"	"20-40"
"ME1"	0.00112268019763679	0.324691527290554	0.149	0.086	1	"Ast"	"ME1"	"20-40"
"CDKAL1"	0.00112408161881165	0.38196676808655	0.18	0.111	1	"Ast"	"CDKAL1"	"20-40"
"ZZZ3"	0.00118549079776697	0.299682014156682	0.112	0.058	1	"Ast"	"ZZZ3"	"20-40"
"FAM171B"	0.00119559315635731	0.323891320339987	0.22	0.142	1	"Ast"	"FAM171B"	"20-40"
"ANKRD36C"	0.00119820718525286	0.272816524988781	0.306	0.21	1	"Ast"	"ANKRD36C"	"20-40"
"PARD3B"	0.0011990161034027	0.28487062232602	0.386	0.287	1	"Ast"	"PARD3B"	"20-40"
"CHD7"	0.00120441855411524	0.428596073233218	0.125	0.069	1	"Ast"	"CHD7"	"20-40"
"RFWD2"	0.00121192584709391	0.413192047552513	0.171	0.103	1	"Ast"	"RFWD2"	"20-40"
"EPM2A"	0.00122674608268627	0.435837262991935	0.102	0.052	1	"Ast"	"EPM2A"	"20-40"
"GPBP1L1"	0.00126629262651307	-0.637071783377313	0.059	0.111	1	"Ast"	"GPBP1L1"	"20-40"
"DST"	0.00132798477870883	0.182393695571816	0.833	0.753	1	"Ast"	"DST"	"20-40"
"EPS15"	0.00134073106007864	0.333754522993339	0.171	0.102	1	"Ast"	"EPS15"	"20-40"
"RORA"	0.00134109108910461	0.143332458176564	0.863	0.79	1	"Ast"	"RORA"	"20-40"
"AC074363.1"	0.00135452732076037	0.264801073234806	0.406	0.304	1	"Ast"	"AC074363.1"	"20-40"
"KIAA1328"	0.00135807366335484	0.368065468180694	0.165	0.1	1	"Ast"	"KIAA1328"	"20-40"
