"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"FLRT2"	2.75210238496652e-09	-1.32822648285183	0.087	0.3	5.91206634338507e-05	"Ast"	"FLRT2"	"MS"
"SLCO1C1"	3.36190828679804e-09	-1.0568870422105	0.087	0.307	7.22205138169955e-05	"Ast"	"SLCO1C1"	"MS"
"CALCRL"	3.44132721302333e-09	0.915704418927958	0.102	0.008	7.39265911901671e-05	"Ast"	"CALCRL"	"MS"
"MIR4300HG"	3.64545016121812e-09	1.42087778031773	0.367	0.173	7.83115603632876e-05	"Ast"	"MIR4300HG"	"MS"
"FRY"	5.16320800651478e-09	1.03312064442305	0.235	0.074	0.00011091603439595	"Ast"	"FRY"	"MS"
"GGT5"	5.88287484901633e-09	0.995694929188177	0.122	0.017	0.000126375917506569	"Ast"	"GGT5"	"MS"
"CSMD2"	6.69273625270892e-09	1.42755863571139	0.168	0.04	0.000143773360180693	"Ast"	"CSMD2"	"MS"
"MT.ATP6"	8.30491761102902e-09	0.562494617873406	0.923	0.871	0.000178406240120125	"Ast"	"MT.ATP6"	"MS"
"FKBP5"	8.94261251194836e-09	-1.03451058973414	0.061	0.258	0.000192105201981675	"Ast"	"FKBP5"	"MS"
"CTC.498M16.4"	9.19002834858664e-09	-1.16021462536744	0.066	0.264	0.000197420188984338	"Ast"	"CTC.498M16.4"	"MS"
"TMEM241"	9.42018358940725e-09	-1.36834387861225	0.01	0.171	0.000202364383867646	"Ast"	"TMEM241"	"MS"
"CSGALNACT1"	9.42216344098564e-09	-1.16480384961033	0.112	0.326	0.000202406915039254	"Ast"	"CSGALNACT1"	"MS"
"DDAH1"	9.56793488371117e-09	-0.832146028160144	0.107	0.338	0.000205538377171883	"Ast"	"DDAH1"	"MS"
"EFNA5"	1.05446623302771e-08	-1.22269418867214	0.031	0.209	0.000226520436179013	"Ast"	"EFNA5"	"MS"
"WIF1"	1.06300597395975e-08	-1.46688508552688	0	0.15	0.000228354943326035	"Ast"	"WIF1"	"MS"
"MT.CO2"	1.15665784057337e-08	0.539707702132081	0.98	0.937	0.000248473237311972	"Ast"	"MT.CO2"	"MS"
"NTM"	1.262781776224e-08	-0.599814923853331	0.75	0.844	0.00027127078116844	"Ast"	"NTM"	"MS"
"FOXG1"	1.38258451989422e-08	-1.3029489866458	0	0.148	0.000297006806563675	"Ast"	"FOXG1"	"MS"
"LRRC16A"	1.39856311245622e-08	-0.922357027156623	0.224	0.474	0.000300439327817845	"Ast"	"LRRC16A"	"MS"
"MAN1C1"	1.64018809506971e-08	0.859200511956528	0.265	0.095	0.000352345206582875	"Ast"	"MAN1C1"	"MS"
"ZBTB20"	1.70300209666546e-08	-0.557217253224458	0.74	0.865	0.000365838910405675	"Ast"	"ZBTB20"	"MS"
"ZDHHC14"	1.74884449315825e-08	1.15990330378973	0.281	0.114	0.000375686774020255	"Ast"	"ZDHHC14"	"MS"
"NOS1AP"	1.92721236094752e-08	1.09109652606564	0.122	0.019	0.000414003759378746	"Ast"	"NOS1AP"	"MS"
"PREX2"	2.34365369003275e-08	-0.785290749907476	0.286	0.518	0.000503463685692835	"Ast"	"PREX2"	"MS"
"DCLK1"	2.56001199649096e-08	0.997695529725638	0.408	0.203	0.000549941777086188	"Ast"	"DCLK1"	"MS"
"GJB6"	3.10955756433984e-08	-1.25027777591042	0.01	0.163	0.000667995155971485	"Ast"	"GJB6"	"MS"
"ACSS3"	3.28239970543868e-08	-1.08269954835162	0.066	0.258	0.000705125104722337	"Ast"	"ACSS3"	"MS"
"COX7C"	4.01218961728226e-08	-0.959989279509361	0.036	0.209	0.000861898573584574	"Ast"	"COX7C"	"MS"
"CHN1"	4.6412621124903e-08	-1.18375017979101	0.071	0.256	0.000997035927005166	"Ast"	"CHN1"	"MS"
"RHOBTB3"	4.6439499305854e-08	-0.828545757446042	0.112	0.326	0.000997613324088356	"Ast"	"RHOBTB3"	"MS"
"MAST4"	5.10020299751875e-08	-0.918604664036333	0.209	0.438	0.00109562560792698	"Ast"	"MAST4"	"MS"
"MYO6"	5.54916770841857e-08	-0.775411578053961	0.209	0.44	0.00119207220712248	"Ast"	"MYO6"	"MS"
"BAIAP3"	5.93826618197365e-08	0.780523620056175	0.102	0.013	0.00127565834121158	"Ast"	"BAIAP3"	"MS"
"ACTN1"	7.93382120858414e-08	1.36503605033167	0.163	0.042	0.00170434347202805	"Ast"	"ACTN1"	"MS"
"STXBP5"	8.21274773850592e-08	-1.02015855196465	0.097	0.29	0.00176426246918584	"Ast"	"STXBP5"	"MS"
"ANOS1"	8.23850514003735e-08	1.01637903057966	0.316	0.142	0.00176979567418282	"Ast"	"ANOS1"	"MS"
"PFKFB3"	8.32633163649294e-08	1.19810659382175	0.311	0.144	0.00178866256215141	"Ast"	"PFKFB3"	"MS"
"ASPH"	8.71545928381134e-08	-0.808726577551241	0.153	0.368	0.00187225496334835	"Ast"	"ASPH"	"MS"
"TMEM108"	8.99100867799511e-08	-1.00842152281568	0.036	0.199	0.00193144848420691	"Ast"	"TMEM108"	"MS"
"MT.ND4"	1.05631513897531e-07	0.519447690146259	0.954	0.947	0.00226917618154677	"Ast"	"MT.ND4"	"MS"
"UQCRB"	1.22904463754787e-07	-0.979492291180423	0.092	0.29	0.00264023369038033	"Ast"	"UQCRB"	"MS"
"LCNL1"	1.35861864103014e-07	1.27348828341403	0.265	0.114	0.00291858456466095	"Ast"	"LCNL1"	"MS"
"TOX"	1.53626991548713e-07	-1.00447341435454	0.092	0.281	0.00330021503244946	"Ast"	"TOX"	"MS"
"COL27A1"	1.54816192446705e-07	1.01502604253886	0.163	0.044	0.00332576144614011	"Ast"	"COL27A1"	"MS"
"NRGN"	1.60795070193903e-07	-1.24702388105011	0.005	0.14	0.00345419969790543	"Ast"	"NRGN"	"MS"
"CHPT1"	1.76230223693587e-07	-0.748167639948242	0.209	0.433	0.00378577766538564	"Ast"	"CHPT1"	"MS"
"ANKRD12"	1.88616164895876e-07	-0.811140450491107	0.214	0.433	0.00405185245429322	"Ast"	"ANKRD12"	"MS"
"CLDN10"	2.29879800520149e-07	-0.981736622219938	0.01	0.148	0.00493827787477384	"Ast"	"CLDN10"	"MS"
"TMEM132C"	2.38572438472957e-07	-1.01952635262856	0	0.125	0.00512501312327605	"Ast"	"TMEM132C"	"MS"
"MERTK"	2.6141053214759e-07	-1.09677914807066	0.015	0.156	0.00561562105159452	"Ast"	"MERTK"	"MS"
"GALNT15"	2.65230050413834e-07	1.28276908625112	0.214	0.076	0.00569767194298999	"Ast"	"GALNT15"	"MS"
"DPYSL3"	2.76587684876253e-07	1.23918889773914	0.276	0.123	0.00594165664651167	"Ast"	"DPYSL3"	"MS"
"KANSL1"	3.00136822251e-07	-0.96242744169866	0.138	0.328	0.00644753921559599	"Ast"	"KANSL1"	"MS"
"AC016716.2"	3.07908010116901e-07	-1.10891359834292	0	0.123	0.00661447987333127	"Ast"	"AC016716.2"	"MS"
"SKAP2"	3.10782347881276e-07	1.14777048682498	0.158	0.044	0.00667622639718557	"Ast"	"SKAP2"	"MS"
"ATP1A2"	3.12138935654281e-07	-0.76012215250236	0.189	0.397	0.00670536861572526	"Ast"	"ATP1A2"	"MS"
"LINC00609"	3.21554156230911e-07	-1.32176923330552	0.117	0.298	0.00690762638415243	"Ast"	"LINC00609"	"MS"
"BRINP3"	3.39794721470653e-07	-1.00319390881567	0.046	0.209	0.00729947020663258	"Ast"	"BRINP3"	"MS"
"STK32A"	3.41440590084695e-07	1.11652868028691	0.128	0.027	0.00733482675619941	"Ast"	"STK32A"	"MS"
"GRIN2C"	3.45409933179952e-07	-1.06674288398978	0.005	0.133	0.00742009618457174	"Ast"	"GRIN2C"	"MS"
"NRP1"	3.64319379477912e-07	-1.07530727670613	0.01	0.142	0.0078263089099445	"Ast"	"NRP1"	"MS"
"SCG3"	3.74199832679913e-07	-1.06467426689625	0.026	0.171	0.00803856080562989	"Ast"	"SCG3"	"MS"
"PDE7B"	4.1088354068079e-07	-0.84435316865585	0.153	0.362	0.00882660022090473	"Ast"	"PDE7B"	"MS"
"CNTNAP1"	4.23340327511774e-07	0.984554956130279	0.112	0.021	0.00909419691560793	"Ast"	"CNTNAP1"	"MS"
"DPP7"	4.41589247768196e-07	1.11361826194935	0.265	0.116	0.00948622022055638	"Ast"	"DPP7"	"MS"
"PDZRN3"	4.81376658488334e-07	-0.950520376150921	0.082	0.258	0.0103409333776464	"Ast"	"PDZRN3"	"MS"
"NUPR1"	5.1307629464003e-07	0.762090788165847	0.291	0.125	0.0110219049614571	"Ast"	"NUPR1"	"MS"
"MGLL"	5.26268275647872e-07	-1.06890091363156	0.02	0.156	0.0113052950974676	"Ast"	"MGLL"	"MS"
"CTSH"	5.33346833908487e-07	-1.15386635400341	0.015	0.148	0.0114573566860221	"Ast"	"CTSH"	"MS"
"GPHN"	5.38336608766415e-07	-0.626925452023192	0.286	0.514	0.0115645470295201	"Ast"	"GPHN"	"MS"
"PAPLN"	5.56687824882619e-07	-0.866484056439068	0.046	0.207	0.0119587678541284	"Ast"	"PAPLN"	"MS"
"NTRK2"	6.88479067542189e-07	-0.686531923532079	0.342	0.56	0.0147899073289413	"Ast"	"NTRK2"	"MS"
"DCLK2"	8.01689980487869e-07	1.09539284806114	0.485	0.321	0.0172219041608404	"Ast"	"DCLK2"	"MS"
"RGS20"	8.02411703422768e-07	-1.13630661068362	0.02	0.154	0.0172374082129279	"Ast"	"RGS20"	"MS"
"STON2"	8.25846985507208e-07	-0.904811637376212	0.087	0.256	0.0177408449426658	"Ast"	"STON2"	"MS"
"VAV3"	8.27525270500417e-07	-0.912450301640199	0.031	0.175	0.01777689786089	"Ast"	"VAV3"	"MS"
"MGAT4C"	8.35206429767011e-07	-0.751759880606149	0.214	0.429	0.0179419045242549	"Ast"	"MGAT4C"	"MS"
"TMEM161B.AS1"	9.28678645954088e-07	-0.718421287881735	0.173	0.383	0.0199498746723857	"Ast"	"TMEM161B.AS1"	"MS"
"DNM3"	1.0361199455054e-06	-0.780723005464114	0.245	0.459	0.022257928669347	"Ast"	"DNM3"	"MS"
"KALRN"	1.10466255236993e-06	1.18933351037092	0.301	0.156	0.0237303609500107	"Ast"	"KALRN"	"MS"
"ROBO2"	1.11336074003001e-06	0.766475375963761	0.214	0.078	0.0239172154173246	"Ast"	"ROBO2"	"MS"
"MYO10"	1.15702466760025e-06	-0.875380413355012	0.092	0.26	0.0248552039093886	"Ast"	"MYO10"	"MS"
"HEPN1"	1.20228565596385e-06	-0.989459829881258	0.102	0.268	0.0258275004614155	"Ast"	"HEPN1"	"MS"
"RASSF8"	1.20489339565489e-06	-1.13879655566988	0.066	0.222	0.0258835199254582	"Ast"	"RASSF8"	"MS"
"RORA"	1.2859447010171e-06	-0.65972365600212	0.622	0.772	0.0276246640672493	"Ast"	"RORA"	"MS"
"DGKB"	1.42828272404394e-06	0.79257053273289	0.184	0.061	0.0306823694779119	"Ast"	"DGKB"	"MS"
"GLUL"	1.43730971336876e-06	-0.608987575816886	0.48	0.683	0.0308762872625876	"Ast"	"GLUL"	"MS"
"TLE1"	1.5176487081363e-06	-1.05498283503831	0.026	0.156	0.0326021295481839	"Ast"	"TLE1"	"MS"
