"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"AHDC1"	3.32429411054451e-06	0.856987217890061	0.188	0.034	0.0357827018059011	"Ast"	"AHDC1"	"60-70"	"female"
"SMAD9"	3.34725150153044e-06	0.833636010288394	0.188	0.034	0.0360298151624736	"Ast"	"SMAD9"	"60-70"	"female"
"ACAP2"	3.48111067031248e-06	0.657953323172628	0.384	0.159	0.0374706752552435	"Ast"	"ACAP2"	"60-70"	"female"
"RASSF4"	3.54715343273017e-06	0.631152724800033	0.445	0.205	0.0381815595499076	"Ast"	"RASSF4"	"60-70"	"female"
"CTD-2282P23.2"	3.64769128657173e-06	-1.11742741384629	0.061	0.205	0.0392637490086581	"Ast"	"CTD-2282P23.2"	"60-70"	"female"
"CCL2"	3.66585291904529e-06	1.16979301120504	0.127	0.006	0.0394592408206035	"Ast"	"CCL2"	"60-70"	"female"
"RALGDS"	3.81639387941195e-06	0.827861996008154	0.286	0.097	0.0410796637179902	"Ast"	"RALGDS"	"60-70"	"female"
"AHCYL2"	3.86959685954736e-06	0.388106887646056	0.612	0.341	0.0416523405961678	"Ast"	"AHCYL2"	"60-70"	"female"
"FAM168A"	3.88879347863412e-06	0.871997887614295	0.314	0.119	0.0418589730040176	"Ast"	"FAM168A"	"60-70"	"female"
"GMPR"	3.91459667152538e-06	0.855311966105366	0.278	0.091	0.0421367185722991	"Ast"	"GMPR"	"60-70"	"female"
"TECPR2"	3.91883169069697e-06	0.78128839902543	0.245	0.068	0.0421823043186621	"Ast"	"TECPR2"	"60-70"	"female"
"LINC00836"	3.986576681398e-06	1.01010087289963	0.163	0.023	0.0429115113985681	"Ast"	"LINC00836"	"60-70"	"female"
"LRSAM1"	4.18755253015164e-06	0.928559962312144	0.184	0.034	0.0450748154345522	"Ast"	"LRSAM1"	"60-70"	"female"
"PRKCA-AS1"	4.20578814501814e-06	-1.17482987492242	0.029	0.148	0.0452711035929753	"Ast"	"PRKCA-AS1"	"60-70"	"female"
"KIAA0930"	4.67390567992644e-06	-0.985188061417141	0.416	0.574	0.0503099207387282	"Ast"	"KIAA0930"	"60-70"	"female"
"GCLC"	4.72896480427043e-06	0.744298056958593	0.151	0.017	0.0509025771531669	"Ast"	"GCLC"	"60-70"	"female"
"SNED1"	4.74747728480717e-06	0.815113970289179	0.237	0.062	0.0511018454936644	"Ast"	"SNED1"	"60-70"	"female"
"DDRGK1"	4.96467933289308e-06	0.816558816800725	0.204	0.045	0.0534398083392611	"Ast"	"DDRGK1"	"60-70"	"female"
"PRKG1"	5.00704893512472e-06	0.425271014557228	0.833	0.665	0.0538958747376825	"Ast"	"PRKG1"	"60-70"	"female"
"RLF"	5.10085090231591e-06	0.720274933462222	0.278	0.091	0.0549055591125284	"Ast"	"RLF"	"60-70"	"female"
"MTCH1"	5.12706148501903e-06	0.687937815074293	0.376	0.159	0.0551876898247448	"Ast"	"MTCH1"	"60-70"	"female"
"CPE"	5.33724594196608e-06	-0.649302854279637	0.682	0.761	0.0574501153193228	"Ast"	"CPE"	"60-70"	"female"
"HDAC7"	5.5057283558474e-06	0.784693140567734	0.184	0.034	0.0592636600223415	"Ast"	"HDAC7"	"60-70"	"female"
"CDH23"	5.64463104267954e-06	0.875328197082128	0.18	0.034	0.0607588085434026	"Ast"	"CDH23"	"60-70"	"female"
"AGFG2"	5.94518744344458e-06	0.840735600996386	0.159	0.023	0.0639939976412374	"Ast"	"AGFG2"	"60-70"	"female"
